Date : 2025-05-07 17:00:21
Directory : d:\Code\WeChatProjects\HeartChat
Total : 344 files,  83278 codes, 6152 comments, 15840 blanks, all 105270 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| @docs\设计文档\1\media                                                                                        |          1 |          1 |          0 |          1 |          2 |
| @docs\设计文档\1\media\media                                                                                  |          1 |          1 |          0 |          1 |          2 |
| @docs\设计文档\2                                                                                              |          4 |        434 |          0 |        173 |        607 |
| @docs\设计文档\docs                                                                                           |         98 |     34,448 |        132 |      5,841 |     40,421 |
| @docs\设计文档\docs (Files)                                                                                   |         12 |      8,360 |          0 |        877 |      9,237 |
| @docs\设计文档\docs\templates                                                                                 |          5 |      1,683 |          0 |        338 |      2,021 |
| @docs\设计文档\docs\templates\cloudfunctions                                                                  |          2 |        669 |          0 |        162 |        831 |
| @docs\设计文档\docs\templates\miniprogram                                                                     |          3 |      1,014 |          0 |        176 |      1,190 |
| @docs\设计文档\docs\使用文档                                                                                      |         43 |      8,647 |          0 |      2,434 |     11,081 |
| @docs\设计文档\docs\功能设计                                                                                      |          1 |      1,452 |          0 |        287 |      1,739 |
| @docs\设计文档\docs\原型设计图                                                                                     |         15 |      4,046 |        132 |        466 |      4,644 |
| @docs\设计文档\docs\原型设计图 (Files)                                                                             |         12 |      3,409 |         91 |        350 |      3,850 |
| @docs\设计文档\docs\原型设计图\css                                                                                 |          1 |        566 |         22 |         98 |        686 |
| @docs\设计文档\docs\原型设计图\js                                                                                  |          2 |         71 |         19 |         18 |        108 |
| @docs\设计文档\docs\后端                                                                                        |          1 |        375 |          0 |         83 |        458 |
| @docs\设计文档\docs\流程图                                                                                       |         21 |      9,885 |          0 |      1,356 |     11,241 |
| @docs\设计文档\docs\流程图 (Files)                                                                               |          9 |      2,175 |          0 |        470 |      2,645 |
| @docs\设计文档\docs\流程图\html                                                                                  |         11 |      7,007 |          0 |        856 |      7,863 |
| @docs\设计文档\docs\流程图\svg                                                                                   |          1 |        703 |          0 |         30 |        733 |
| @docs\设计文档\作品报告                                                                                           |         24 |      7,294 |          0 |      1,715 |      9,009 |
| cloudfunctions                                                                                            |         45 |      7,715 |      1,571 |      1,351 |     10,637 |
| cloudfunctions\analysis                                                                                   |          8 |      2,098 |        562 |        344 |      3,004 |
| cloudfunctions\chat                                                                                       |          3 |        933 |        166 |        178 |      1,277 |
| cloudfunctions\clearDatabase                                                                              |          2 |         77 |         11 |         13 |        101 |
| cloudfunctions\emotion                                                                                    |          2 |        196 |         45 |         40 |        281 |
| cloudfunctions\generateDailyReports                                                                       |          3 |        169 |         32 |         23 |        224 |
| cloudfunctions\getEmotionRecords                                                                          |          2 |        100 |         11 |         17 |        128 |
| cloudfunctions\getIflytekSttUrl                                                                           |          2 |         47 |         19 |         14 |         80 |
| cloudfunctions\getRoleInfo                                                                                |          2 |         54 |          4 |          8 |         66 |
| cloudfunctions\httpRequest                                                                                |          3 |         90 |         23 |         18 |        131 |
| cloudfunctions\initReportCollections                                                                      |          2 |         92 |         21 |         12 |        125 |
| cloudfunctions\login                                                                                      |          2 |        222 |         25 |         36 |        283 |
| cloudfunctions\roles                                                                                      |          7 |      1,438 |        190 |        263 |      1,891 |
| cloudfunctions\testDatabase                                                                               |          2 |         64 |          8 |          9 |         81 |
| cloudfunctions\user                                                                                       |          5 |      2,135 |        454 |        376 |      2,965 |
| docs                                                                                                      |          1 |         59 |          0 |         40 |         99 |
| docs\使用文档                                                                                                 |          1 |         59 |          0 |         40 |         99 |
| miniprogram                                                                                               |        142 |     23,865 |      4,380 |      4,050 |     32,295 |
| miniprogram (Files)                                                                                       |          5 |        504 |         70 |         72 |        646 |
| miniprogram\__tests__                                                                                     |          1 |         51 |          1 |          9 |         61 |
| miniprogram\components                                                                                    |         44 |      4,648 |        606 |        681 |      5,935 |
| miniprogram\components\ec-canvas                                                                          |          8 |        348 |         69 |         51 |        468 |
| miniprogram\components\emotion-analysis                                                                   |          4 |        705 |         84 |        118 |        907 |
| miniprogram\components\emotion-card                                                                       |          4 |        303 |         33 |         42 |        378 |
| miniprogram\components\emotion-dashboard                                                                  |          4 |      1,413 |        131 |        168 |      1,712 |
| miniprogram\components\emotion-history                                                                    |          4 |        360 |         64 |         67 |        491 |
| miniprogram\components\emotion-panel                                                                      |          4 |        432 |         66 |         79 |        577 |
| miniprogram\components\emotion-pie                                                                        |          4 |        338 |         58 |         32 |        428 |
| miniprogram\components\interest-tag-cloud                                                                 |          4 |        318 |         49 |         48 |        415 |
| miniprogram\components\login                                                                              |          4 |        186 |         11 |         35 |        232 |
| miniprogram\components\role-card                                                                          |          4 |        245 |         41 |         41 |        327 |
| miniprogram\config                                                                                        |          1 |        130 |         30 |          7 |        167 |
| miniprogram\images                                                                                        |          1 |          3 |          0 |          1 |          4 |
| miniprogram\images\icons                                                                                  |          1 |          3 |          0 |          1 |          4 |
| miniprogram\packageChat                                                                                   |         16 |      3,628 |        728 |        617 |      4,973 |
| miniprogram\packageChat\components                                                                        |          8 |      1,010 |        211 |        174 |      1,395 |
| miniprogram\packageChat\components\chat-bubble                                                            |          4 |        215 |         38 |         31 |        284 |
| miniprogram\packageChat\components\chat-input                                                             |          4 |        795 |        173 |        143 |      1,111 |
| miniprogram\packageChat\pages                                                                             |          8 |      2,618 |        517 |        443 |      3,578 |
| miniprogram\packageChat\pages\chat                                                                        |          4 |      1,850 |        413 |        339 |      2,602 |
| miniprogram\packageChat\pages\emotion-analysis                                                            |          4 |        768 |        104 |        104 |        976 |
| miniprogram\packageEmotion                                                                                |          9 |      3,549 |        476 |        591 |      4,616 |
| miniprogram\packageEmotion\pages                                                                          |          9 |      3,549 |        476 |        591 |      4,616 |
| miniprogram\packageEmotion\pages\daily-report                                                             |          4 |      1,599 |        185 |        231 |      2,015 |
| miniprogram\packageEmotion\pages\emotion-history                                                          |          5 |      1,950 |        291 |        360 |      2,601 |
| miniprogram\pages                                                                                         |         44 |      7,238 |      1,031 |      1,290 |      9,559 |
| miniprogram\pages\agreement                                                                               |         12 |        402 |         28 |         73 |        503 |
| miniprogram\pages\home                                                                                    |          4 |        838 |        156 |        155 |      1,149 |
| miniprogram\pages\keywordTest                                                                             |          4 |        211 |         20 |         31 |        262 |
| miniprogram\pages\prompt-editor                                                                           |          4 |        431 |         55 |         66 |        552 |
| miniprogram\pages\role-editor                                                                             |          4 |      1,377 |        153 |        237 |      1,767 |
| miniprogram\pages\role-select                                                                             |          4 |      1,163 |        170 |        208 |      1,541 |
| miniprogram\pages\user                                                                                    |          8 |      2,510 |        400 |        464 |      3,374 |
| miniprogram\pages\user (Files)                                                                            |          4 |      1,469 |        241 |        268 |      1,978 |
| miniprogram\pages\user\profile                                                                            |          4 |      1,041 |        159 |        196 |      1,396 |
| miniprogram\pages\welcome                                                                                 |          4 |        306 |         49 |         56 |        411 |
| miniprogram\services                                                                                      |         12 |      3,223 |      1,073 |        607 |      4,903 |
| miniprogram\styles                                                                                        |          1 |         17 |          0 |          4 |         21 |
| miniprogram\utils                                                                                         |          8 |        874 |        365 |        171 |      1,410 |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                  | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Code\WeChatProjects\HeartChat\.eslintrc.js                                                             | JavaScript |         93 |          0 |          0 |         93 |
| d:\Code\WeChatProjects\HeartChat\.prettierrc.js                                                           | JavaScript |         44 |         28 |          0 |         72 |
| d:\Code\WeChatProjects\HeartChat\@docs\使用文档\日志优化方案.md                                                     | Markdown   |         83 |          0 |         35 |        118 |
| d:\Code\WeChatProjects\HeartChat\@docs\使用文档\语音功能使用指南.md                                                   | Markdown   |         56 |          0 |         26 |         82 |
| d:\Code\WeChatProjects\HeartChat\@docs\参考文档\client.ts                                                     | TypeScript |        133 |          6 |         21 |        160 |
| d:\Code\WeChatProjects\HeartChat\@docs\参考文档\github开源库.md                                                  | Markdown   |         22 |          0 |         26 |         48 |
| d:\Code\WeChatProjects\HeartChat\@docs\参考文档\iat_ws_nodejs_demo\iat-ws-node.js                             | JavaScript |        122 |         34 |         11 |        167 |
| d:\Code\WeChatProjects\HeartChat\@docs\参考文档\iat_ws_nodejs_demo\package.json                               | JSON       |         16 |          0 |          1 |         17 |
| d:\Code\WeChatProjects\HeartChat\@docs\参考文档\角色模拟.md                                                       | Markdown   |         42 |          0 |         34 |         76 |
| d:\Code\WeChatProjects\HeartChat\@docs\参考文档\讯飞语音api文档.md                                                  | Markdown   |         64 |          0 |         55 |        119 |
| d:\Code\WeChatProjects\HeartChat\@docs\开发文档\HeartChat 语音输入功能 (讯飞语音听写) 开发文档.md                             | Markdown   |        318 |          0 |         33 |        351 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\1\media\media\image83.svg                                     | SVG        |          1 |          0 |          1 |          2 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\1\作品报告模板.md                                                   | Markdown   |        894 |          0 |        809 |      1,703 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\1\演讲文稿.md                                                     | Markdown   |        202 |          0 |         66 |        268 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\1\演讲文稿1.0.md                                                  | Markdown   |        175 |          0 |         42 |        217 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\2\1.md                                                        | Markdown   |         18 |          0 |         12 |         30 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\2\123.md                                                      | Markdown   |        167 |          0 |         65 |        232 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\2\ppt.md                                                      | Markdown   |        152 |          0 |         55 |        207 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\2\项目计划书大纲.md                                                  | Markdown   |         97 |          0 |         41 |        138 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\black-background.html                                         | HTML       |         20 |          1 |          1 |         22 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\code_review_report.md                                         | Markdown   |      3,516 |          0 |        682 |      4,198 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\code_review_todolist.md                                       | Markdown   |        152 |          0 |         19 |        171 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\database_design.md                                            | Markdown   |        208 |          0 |         42 |        250 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\Cursor长期记忆.md                                            | Markdown   |      1,076 |          0 |        568 |      1,644 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\TODO.md                                                  | Markdown   |         51 |          0 |         13 |         64 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\database_export-O_QEzebWwbqt.json                        | JSON       |      5,637 |          0 |          0 |      5,637 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\templates\cloudfunctions\cloud_function.md               | Markdown   |        338 |          0 |         73 |        411 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\templates\cloudfunctions\db_schema.md                    | Markdown   |        331 |          0 |         89 |        420 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\templates\miniprogram\component_template.md              | Markdown   |        598 |          0 |         97 |        695 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\templates\miniprogram\page_template.md                   | Markdown   |        415 |          0 |         79 |        494 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\templates\miniprogram\util_function.md                   | Markdown   |          1 |          0 |          0 |          1 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\userInterests.json                                       | JSON       |         40 |          0 |          0 |         40 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\云函数整合与优化建议.md                                            | Markdown   |         67 |          0 |         32 |         99 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\@HeartChat项目开发总结.md                                 | Markdown   |        272 |          0 |         93 |        365 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\@聊天功能开发计划.md                                        | Markdown   |        153 |          0 |         37 |        190 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\@聊天消息分段输出计划.md                                      | Markdown   |        294 |          0 |         67 |        361 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\ECharts组件使用指南.md                                    | Markdown   |        458 |          0 |         77 |        535 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\Tab页修改说明.md                                         | Markdown   |        120 |          0 |         33 |        153 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\emotion云函数使用文档.md                                   | Markdown   |        218 |          0 |         50 |        268 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\httpRequest云函数使用文档.md                               | Markdown   |        219 |          0 |         51 |        270 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\roles云函数使用文档.md                                     | Markdown   |        562 |          0 |        132 |        694 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\roles云函数部署说明-新.md                                   | Markdown   |        127 |          0 |         40 |        167 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\userPerception模块使用文档.md                             | Markdown   |        233 |          0 |         57 |        290 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\云函数使用文档.md                                          | Markdown   |        227 |          0 |         54 |        281 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\关键词情感关联功能使用示例.md                                    | Markdown   |        182 |          0 |         44 |        226 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\底部Tab页暗夜模式适配说明.md                                   | Markdown   |         90 |          0 |         27 |        117 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\情绪分析云函数调用指南.md                                      | Markdown   |        528 |          0 |        107 |        635 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\情绪分析功能使用指南.md                                       | Markdown   |         80 |          0 |         52 |        132 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\情绪分析弹窗优化.md                                         | Markdown   |        113 |          0 |         32 |        145 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\情绪历史界面暗夜模式适配说明.md                                   | Markdown   |        178 |          0 |         36 |        214 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\情绪历史页面使用指南.md                                       | Markdown   |         97 |          0 |         60 |        157 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\情绪历史页面功能增强.md                                       | Markdown   |        240 |          0 |         68 |        308 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\情绪波动指数实现计划.md                                       | Markdown   |        233 |          0 |         77 |        310 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\新角色编辑页面使用文档_更新版.md                                  | Markdown   |        128 |          0 |         59 |        187 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\智能欢迎语与历史记录加载优化说明.md                                 | Markdown   |        130 |          0 |         34 |        164 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\智谱AI接口使用文档.md                                       | Markdown   |        268 |          0 |         51 |        319 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\智谱AI用户画像优化实现计划.md                                   | Markdown   |        101 |          0 |         40 |        141 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\智谱AI用户画像功能使用指南.md                                   | Markdown   |        171 |          0 |         51 |        222 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\暗黑模式使用文档.md                                         | Markdown   |         84 |          0 |         47 |        131 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\欢迎页面.md                                             | Markdown   |        113 |          0 |         37 |        150 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\每日心情报告功能使用指南.md                                     | Markdown   |        101 |          0 |         56 |        157 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\每日心情报告系统使用文档.md                                     | Markdown   |         84 |          0 |         50 |        134 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\用户兴趣分类功能说明.md                                       | Markdown   |        185 |          0 |         52 |        237 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\用户兴趣标签云组件使用示例.md                                    | Markdown   |        133 |          0 |         34 |        167 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\用户模块使用文档.md                                         | Markdown   |        268 |          0 |         64 |        332 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\用户模块开发计划.md                                         | Markdown   |         71 |          0 |         14 |         85 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\用户资料页面更新说明.md                                       | Markdown   |        264 |          0 |         63 |        327 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\用户页面下拉刷新功能使用指南.md                                   | Markdown   |        231 |          0 |         64 |        295 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\聊天功能使用指南.md                                         | Markdown   |        463 |          0 |         68 |        531 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\聊天界面键盘优化.md                                         | Markdown   |        156 |          0 |         51 |        207 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\聊天记录本地缓存与下拉加载功能说明.md                                | Markdown   |        158 |          0 |         48 |        206 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\角色分类方案.md                                           | Markdown   |        128 |          0 |         42 |        170 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\角色自定义方案.md                                          | Markdown   |        158 |          0 |         66 |        224 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\角色选择页面优化.md                                         | Markdown   |        151 |          0 |         39 |        190 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\角色选择页面详细文档.md                                       | Markdown   |        372 |          0 |        152 |        524 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\使用文档\预设角色功能使用指南.md                                       | Markdown   |        105 |          0 |         58 |        163 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\免费版与 VIP 版差异化设计方案.md                                     | Markdown   |         66 |          0 |         24 |         90 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\功能设计\HeartChat每日心情报告设计方案.md                              | Markdown   |      1,452 |          0 |        287 |      1,739 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\chat.html                                          | HTML       |        262 |         14 |         38 |        314 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\css\styles.css                                     | CSS        |        566 |         22 |         98 |        686 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\daily-report.html                                  | HTML       |        304 |         10 |         19 |        333 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\emotion-analysis.html                              | HTML       |        257 |          8 |         17 |        282 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\emotion-history.html                               | HTML       |        328 |          9 |         19 |        356 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\heart-spirit-prototype.html                        | HTML       |      1,250 |          7 |        164 |      1,421 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\home.html                                          | HTML       |        126 |          6 |          7 |        139 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\index.html                                         | HTML       |        156 |          9 |         21 |        186 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\js\home.js                                         | JavaScript |         14 |          6 |          6 |         26 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\js\welcome.js                                      | JavaScript |         57 |         13 |         12 |         82 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\profile.html                                       | HTML       |        224 |         10 |         13 |        247 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\role-select.html                                   | HTML       |        161 |          8 |         10 |        179 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\settings.html                                      | HTML       |        175 |          9 |          9 |        193 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\welcome.html                                       | HTML       |         75 |          1 |          5 |         81 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\原型设计图\原型设计说明.md                                          | Markdown   |         91 |          0 |         28 |        119 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\后端\database_design.md                                    | Markdown   |        375 |          0 |         83 |        458 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\小程序优化方案.md                                               | Markdown   |        311 |          0 |         56 |        367 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\开发文档.md                                                  | Markdown   |        597 |          0 |         71 |        668 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\提示词模板.md                                                 | Markdown   |        152 |          0 |         60 |        212 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\HeartChat功能实现流程图.md                                  | Markdown   |        226 |          0 |         35 |        261 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\HeartChat外部API调用流程图.md                               | Markdown   |        258 |          0 |         75 |        333 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\HeartChat技术实现流程图.md                                  | Markdown   |        289 |          0 |         55 |        344 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\HeartChat数据库结构图.md                                   | Markdown   |        343 |          0 |         69 |        412 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\HeartChat数据流向图.md                                    | Markdown   |        287 |          0 |         61 |        348 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\HeartChat流程图总览.md                                    | Markdown   |        108 |          0 |         43 |        151 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\HeartChat用户界面流程图.md                                  | Markdown   |        264 |          0 |         47 |        311 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\HeartChat系统架构图.md                                    | Markdown   |        177 |          0 |         44 |        221 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\HeartChat项目开发进度图.md                                  | Markdown   |        223 |          0 |         41 |        264 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\html\ER图生成器.html                                     | HTML       |      1,176 |          0 |        169 |      1,345 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\html\HeartChat功能实现流程图.html                           | HTML       |        632 |          0 |         53 |        685 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\html\HeartChat外部API调用流程图.html                        | HTML       |        547 |          0 |         89 |        636 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\html\HeartChat技术实现流程图.html                           | HTML       |        576 |          0 |         70 |        646 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\html\HeartChat数据库ER图.html                            | HTML       |        980 |          0 |        136 |      1,116 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\html\HeartChat数据库结构图.html                            | HTML       |        590 |          0 |         74 |        664 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\html\HeartChat数据流向图.html                             | HTML       |        543 |          0 |         56 |        599 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\html\HeartChat流程图总览.html                             | HTML       |        223 |          0 |         15 |        238 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\html\HeartChat用户界面流程图.html                           | HTML       |        541 |          0 |         62 |        603 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\html\HeartChat系统架构图.html                             | HTML       |        695 |          0 |         75 |        770 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\html\HeartChat项目开发进度图.html                           | HTML       |        504 |          0 |         57 |        561 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\流程图\svg\整体系统架构.svg                                       | SVG        |        703 |          0 |         30 |        733 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\聊天流程图.md                                                 | Markdown   |         67 |          0 |         11 |         78 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\聊天流程图.svg                                                | SVG        |          1 |          0 |          0 |          1 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\docs\详细开发计划.md                                                | Markdown   |        295 |          0 |         42 |        337 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\error.md                                                      | Markdown   |          0 |          0 |          1 |          1 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\roles_architecture.md                                         | Markdown   |        228 |          0 |         39 |        267 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\userInterests优化计划.md                                          | Markdown   |        552 |          0 |        126 |        678 |
| d:\Code\WeChatProjects\HeartChat\@docs\设计文档\作品报告\3.1系统整体架构.md                                             | Markdown   |        128 |          0 |         76 |        204 |
